team_a_color,team_b_color,team_in_possession,ball_zone,team_a_attack_sec,team_b_attack_sec,team_a_pressing_intensity,team_a_block_height,team_a_half_space_occupancy,team_a_vertical_compactness,team_a_build_up_shape,team_a_attacking_tempo,team_a_transition_threat,team_a_striker_profile,team_a_fullback_role,team_a_pressing_trigger,team_a_rest_defense_shape,team_a_attacking_bias,team_a_defensive_line_action,team_b_pressing_intensity,team_b_block_height,team_b_half_space_occupancy,team_b_vertical_compactness,team_b_build_up_shape,team_b_attacking_tempo,team_b_transition_threat,team_b_striker_profile,team_b_fullback_role,team_b_pressing_trigger,team_b_rest_defense_shape,team_b_attacking_bias,team_b_defensive_line_action,timestamp,team_a_has_ball,team_b_has_ball,team_a_trans_threat,team_b_trans_threat,zone_numeric,team_a_tempo_num,team_b_tempo_num,team_a_raw_threat,team_b_raw_threat,net_momentum,smoothed_net_momentum
white,maroon,white,middle_third,0,0,7,high,2,standard,2-3,patient_possession,sustained_build,channel_runner,defensive,gegenpress,2-3,central_channel,step_up,6,mid,2,standard,none,none,none,channel_runner,defensive,loss_of_possession,unstructured,central_channel,step_up,10:00-11:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,9.25
white,maroon,maroon,middle_third,0,2,7,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,step_up,7,mid,2,standard,2-3,fast_direct,counter_attack,channel_runner,overlapping,loss_of_possession,2-3,right_flank,step_up,11:00-12:00,0,1,sustained_build,counter_attack,1.5,1,2,0.0,13.0,-13.0,-3.25
white,maroon,maroon,middle_third,0,22,4,mid,2,standard,none,none,none,none,defensive,none,unstructured,none,drop_deep,1,none,3,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,3-2,central_channel,step_up,12:00-13:00,0,1,none,sustained_build,1.5,0,2,0.0,9.0,-9.0,-11.0
white,maroon,maroon,middle_third,2,10,3,mid,2,standard,none,none,none,channel_runner,defensive,none,unstructured,right_flank,step_up,2,mid,2,standard,3-2,patient_possession,sustained_build,channel_runner,overlapping,none,3-2,right_flank,step_up,13:00-14:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,-7.75
white,maroon,maroon,middle_third,10,8,8,high,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,right_flank,step_up,4,mid,1,standard,2-3,fast_direct,counter_attack,channel_runner,defensive,loss_of_possession,2-3,central_channel,drop_deep,14:00-15:00,0,1,sustained_build,counter_attack,1.5,2,2,0.0,12.0,-12.0,-9.25
white,maroon,maroon,middle_third,6,0,8,high,2,tight,2-3,none,none,channel_runner,defensive,gegenpress,unstructured,central_channel,step_up,5,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,3-2,right_flank,drop_deep,15:00-16:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,-9.25
white,maroon,white,middle_third,3,0,6,mid,2,standard,4-2,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,step_up,4,mid,2,standard,3-2,patient_possession,sustained_build,channel_runner,defensive,loss_of_possession,3-2,central_channel,drop_deep,16:00-17:00,1,0,sustained_build,sustained_build,1.5,1,1,6.5,0.0,6.5,0.0
white,maroon,maroon,attacking_third,0,30,4,low,2,standard,2-3,patient_possession,none,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,8,high,3,stretched,unstructured,fast_direct,counter_attack,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,17:00-18:00,0,1,none,counter_attack,3.0,1,2,0.0,17.0,-17.0,-5.25
white,maroon,white,attacking_third,20,0,7,high,2,standard,4-2,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,right_flank,step_up,3,low,4,tight,2-3,none,none,target_man,defensive,none,unstructured,none,drop_deep,18:00-19:00,1,0,sustained_build,none,3.0,2,0,11.0,0.0,11.0,-3.0
white,maroon,white,middle_third,0,0,0,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,none,2-3,right_flank,step_up,7,mid,2,tight,3-2,none,none,channel_runner,defensive,loss_of_possession,3-2,central_channel,step_up,19:00-20:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,8.75
white,maroon,maroon,middle_third,5,5,4,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,drop_deep,4,mid,2,standard,none,fast_direct,counter_attack,channel_runner,defensive,loss_of_possession,unstructured,central_channel,step_up,20:00-21:00,0,1,sustained_build,counter_attack,1.5,1,2,0.0,13.0,-13.0,-3.25
white,maroon,maroon,attacking_third,5,15,7,high,1,standard,2-3,patient_possession,none,channel_runner,overlapping,gegenpress,unstructured,right_flank,step_up,5,mid,2,standard,3-2,sustained_high_pressure,none,channel_runner,defensive,none,3-2,central_channel,step_up,21:00-22:00,0,1,none,none,3.0,1,2,0.0,11.0,-11.0,-12.0
white,maroon,white,middle_third,16,4,4,mid,2,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,drop_deep,6,mid,1,standard,2-3,patient_possession,sustained_build,channel_runner,defensive,loss_of_possession,2-3,central_channel,drop_deep,22:00-23:00,1,0,sustained_build,sustained_build,1.5,2,1,8.0,0.0,8.0,-1.5
white,maroon,maroon,middle_third,0,4,7,mid,2,standard,none,none,none,none,defensive,loss_of_possession,2-3,none,drop_deep,0,none,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,none,3-2,central_channel,step_up,23:00-24:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,0.75
white,maroon,maroon,middle_third,27,0,6,mid,2,standard,2-3,none,none,channel_runner,defensive,loss_of_possession,2-3,central_channel,step_up,3,low,2,standard,3-2,patient_possession,sustained_build,channel_runner,overlapping,none,3-2,right_flank,step_up,24:00-25:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,-6.5
white,maroon,maroon,middle_third,0,2,8,high,2,standard,2-3,none,none,channel_runner,overlapping,gegenpress,unstructured,central_channel,step_up,6,mid,2,standard,3-2,fast_direct,fast_vertical_transition,channel_runner,overlapping,loss_of_possession,3-2,central_channel,step_up,25:00-26:00,0,1,none,fast_vertical_transition,1.5,0,2,0.0,13.0,-13.0,-9.75
white,maroon,maroon,middle_third,0,2,2,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,defensive,none,2-3,central_channel,step_up,8,high,2,tight,3-2,fast_direct,counter_attack,channel_runner,defensive,gegenpress,3-2,central_channel,step_up,26:00-27:00,0,1,sustained_build,counter_attack,1.5,1,2,0.0,13.0,-13.0,-13.0
white,maroon,maroon,middle_third,0,0,5,mid,2,standard,2-3,none,none,false_9,defensive,loss_of_possession,2-3,central_channel,drop_deep,3,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,drop_deep,27:00-28:00,0,1,none,sustained_build,1.5,0,1,0.0,6.5,-6.5,-9.75
white,maroon,white,middle_third,0,0,3,mid,2,standard,2-3,patient_possession,sustained_build,channel_runner,overlapping,loss_of_possession,2-3,central_channel,step_up,6,mid,2,standard,none,none,none,channel_runner,defensive,loss_of_possession,3-2,central_channel,drop_deep,28:00-29:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,0.0
