team_a_color,team_b_color,team_in_possession,ball_zone,team_a_attack_sec,team_b_attack_sec,team_a_pressing_intensity,team_a_block_height,team_a_half_space_occupancy,team_a_vertical_compactness,team_a_build_up_shape,team_a_attacking_tempo,team_a_transition_threat,team_a_striker_profile,team_a_fullback_role,team_a_pressing_trigger,team_a_rest_defense_shape,team_a_attacking_bias,team_a_defensive_line_action,team_b_pressing_intensity,team_b_block_height,team_b_half_space_occupancy,team_b_vertical_compactness,team_b_build_up_shape,team_b_attacking_tempo,team_b_transition_threat,team_b_striker_profile,team_b_fullback_role,team_b_pressing_trigger,team_b_rest_defense_shape,team_b_attacking_bias,team_b_defensive_line_action,timestamp,team_a_has_ball,team_b_has_ball,team_a_trans_threat,team_b_trans_threat,zone_numeric,team_a_tempo_num,team_b_tempo_num,team_a_raw_threat,team_b_raw_threat,net_momentum,smoothed_net_momentum
red,blue,red,middle_third,0,0,1,mid,2,stretched,3-2,patient_possession,sustained_build,channel_runner,defensive,none,3-2,central_channel,step_up,3,mid,2,tight,2-3,none,none,channel_runner,defensive,none,unstructured,central_channel,drop_deep,10:00-11:00,1,0,sustained_build,none,1.5,1,0,6.5,0.0,6.5,0.0
red,blue,red,middle_third,0,0,8,high,1,standard,2-3,patient_possession,sustained_build,channel_runner,defensive,gegenpress,3-2,central_channel,step_up,7,mid,1,standard,3-2,none,none,channel_runner,defensive,loss_of_possession,3-2,central_channel,step_up,11:00-12:00,1,0,sustained_build,none,1.5,1,0,5.5,0.0,5.5,6.0
red,blue,red,middle_third,0,0,8,mid,2,stretched,4-2,patient_possession,sustained_build,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,5,mid,2,standard,3-2,none,counter_attack,channel_runner,defensive,backward_pass,unstructured,central_channel,step_up,12:00-13:00,1,0,sustained_build,counter_attack,1.5,1,0,6.5,0.0,6.5,6.0
red,blue,blue,attacking_third,0,36,5,mid,2,standard,2-3,none,none,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,8,high,3,tight,2-3,sustained_high_pressure,fast_vertical_transition,channel_runner,overlapping,gegenpress,3-2,right_flank,step_up,13:00-14:00,0,1,none,fast_vertical_transition,3.0,0,2,0.0,17.0,-17.0,-5.25
red,blue,blue,defensive_third,0,0,8,high,3,tight,none,none,none,channel_runner,defensive,gegenpress,3-2,central_channel,step_up,0,none,0,none,3-2,patient_possession,sustained_build,channel_runner,defensive,none,3-2,central_channel,none,14:00-15:00,0,1,none,sustained_build,0.5,0,1,0.0,2.5,-2.5,-9.75
red,blue,blue,middle_third,0,0,3,mid,2,tight,none,none,none,none,defensive,none,none,none,drop_deep,none,none,none,standard,4-2,patient_possession,sustained_build,channel_runner,defensive,none,3-2,central_channel,none,15:00-16:00,0,1,none,sustained_build,1.5,0,1,0.0,4.5,-4.5,-3.5
red,blue,blue,attacking_third,0,32,4,low,2,tight,none,none,counter_attack,channel_runner,defensive,loss_of_possession,unstructured,none,drop_deep,8,high,3,tight,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,16:00-17:00,0,1,counter_attack,sustained_build,3.0,0,2,0.0,12.0,-12.0,-8.25
red,blue,red,attacking_third,45,0,8,high,3,stretched,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,2-3,right_flank,step_up,3,low,4,tight,none,none,counter_attack,none,defensive,none,unstructured,none,drop_deep,17:00-18:00,1,0,sustained_build,counter_attack,3.0,2,0,12.0,0.0,12.0,0.0
red,blue,blue,defensive_third,0,0,9,high,0,tight,none,none,none,channel_runner,defensive,loss_of_possession,2-3,central_channel,step_up,1,low,0,stretched,2-3,patient_possession,sustained_build,false_9,defensive,none,3-2,right_flank,drop_deep,18:00-19:00,0,1,none,sustained_build,0.5,0,1,0.0,2.5,-2.5,4.75
red,blue,blue,middle_third,1,0,7,high,2,standard,2-3,patient_possession,none,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,5,mid,2,tight,2-3,patient_possession,sustained_build,channel_runner,defensive,none,3-2,central_channel,drop_deep,19:00-20:00,0,1,none,sustained_build,1.5,1,1,0.0,6.5,-6.5,-4.5
red,blue,blue,attacking_third,0,12,5,low,2,tight,unstructured,dead_ball_stoppage,counter_attack,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,4,mid,3,standard,4-2,dead_ball_stoppage,sustained_build,target_man,overlapping,loss_of_possession,3-2,left_flank,step_up,20:00-21:00,0,1,counter_attack,sustained_build,3.0,0,0,0.0,9.0,-9.0,-7.75
red,blue,blue,middle_third,0,25,7,mid,3,tight,4-2,none,none,channel_runner,defensive,loss_of_possession,unstructured,central_channel,drop_deep,0,none,3,stretched,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,none,3-2,central_channel,step_up,21:00-22:00,0,1,none,sustained_build,1.5,0,2,0.0,9.0,-9.0,-9.0
red,blue,red,middle_third,14,10,4,mid,2,standard,2-3,patient_possession,sustained_build,false_9,overlapping,loss_of_possession,2-3,central_channel,step_up,5,mid,2,standard,none,fast_direct,counter_attack,channel_runner,defensive,loss_of_possession,2-3,central_channel,drop_deep,22:00-23:00,1,0,sustained_build,counter_attack,1.5,1,2,6.5,0.0,6.5,-1.25
red,blue,blue,attacking_third,0,12,5,mid,2,standard,none,none,none,none,defensive,loss_of_possession,unstructured,none,drop_deep,7,high,3,standard,2-3,sustained_high_pressure,sustained_build,channel_runner,overlapping,gegenpress,3-2,left_flank,step_up,23:00-24:00,0,1,none,sustained_build,3.0,0,2,0.0,12.0,-12.0,-2.75
red,blue,blue,attacking_third,0,45,3,low,2,tight,2-3,none,none,channel_runner,defensive,none,3-2,central_channel,drop_deep,0,mid,3,standard,2-3,sustained_high_pressure,sustained_build,false_9,overlapping,none,3-2,central_channel,step_up,24:00-25:00,0,1,none,sustained_build,3.0,0,2,0.0,12.0,-12.0,-12.0
red,blue,blue,attacking_third,0,32,3,low,2,tight,2-3,none,none,channel_runner,defensive,none,unstructured,central_channel,drop_deep,8,high,3,standard,2-3,sustained_high_pressure,fast_vertical_transition,channel_runner,overlapping,gegenpress,3-2,central_channel,step_up,25:00-26:00,0,1,none,fast_vertical_transition,3.0,0,2,0.0,17.0,-17.0,-14.5
red,blue,blue,middle_third,0,0,1,mid,2,stretched,4-2,dead_ball_stoppage,none,channel_runner,defensive,none,unstructured,central_channel,drop_deep,1,mid,2,stretched,4-2,dead_ball_stoppage,none,channel_runner,defensive,none,unstructured,central_channel,drop_deep,26:00-27:00,0,1,none,none,1.5,0,0,0.0,5.0,-5.0,-11.0
red,blue,red,attacking_third,42,0,8,high,3,tight,2-3,fast_direct,fast_vertical_transition,channel_runner,overlapping,gegenpress,2-3,central_channel,step_up,3,low,3,tight,4-2,none,none,channel_runner,defensive,none,4-2,central_channel,drop_deep,27:00-28:00,1,0,fast_vertical_transition,none,3.0,2,0,17.0,0.0,17.0,6.0
red,blue,red,middle_third,5,0,1,mid,2,stretched,4-2,patient_possession,sustained_build,false_9,overlapping,none,3-2,central_channel,step_up,8,high,2,tight,3-2,none,counter_attack,channel_runner,defensive,loss_of_possession,unstructured,central_channel,step_up,28:00-29:00,1,0,sustained_build,counter_attack,1.5,1,0,6.5,0.0,6.5,11.75
